ccodealp,ccode,cname,ccodecow,wdi_dgovhexp,wdi_lifexp,wdi_pop,continent,vdem_corr,wdi_popurb,wdi_poprul,wvs_pmi12,wvs_pmi4,wvs_auton,wdi_litrad,wdi_chexppgdp,undp_hdi,wdi_hwf,wdi_hwfr,wdi_hwfu,who_let,ht_colonial,mad_gdppc1600,mad_gdppc1700,mad_gdppc1900,bti_ds,sgi_qd,vdem_libdem,wdi_gdpcapcon2015,wdi_gdpcappppcon2021,wdi_gdppppcon2021,wdi_incsh10h,gd_ptsh,gd_ptsa,wbgi_pve
CHL,152,Chile,155,5.07403803,79.176,19553036,Americas,0.063,88.6395352768685,11.3604647231315,NA,NA,NA,NA,10.06172848,0.869,NA,NA,NA,79.02404788,2,NA,NA,3386,9.25,6.591666666666667,0.779,14283.148950152385,29569.47755279372,578173059090.9674,34.5,2,3,-0.004406
CHN,156,China,710,2.94645953,78.202,1412175000,Asia,0.465,65.2176361083984,34.782363891601605,NA,NA,NA,96.7399978637695,5.36948681,0.796,97.2068004538355,95.3,98.3,77.61619672,0,1217.466,1542.633,972,3.183333333333333,NA,0.042,11830.598370349626,21499.38228344267,30360890176120.65,28.4,4,4,-0.2490582
TWN,158,Taiwan (Province of China),713,NA,NA,NA,Asia,0.226,NA,NA,1.5681564614602082,1.6647158897629042,0.9567769962913047,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,9.6,NA,0.727,NA,NA,NA,NA,NA,1,1.0311975
COL,170,Colombia,100,5.33477688,76.508,51737944,Americas,0.381,78.0464633137335,21.953536686266503,NA,NA,NA,95.3138834471897,7.57361269,0.782,70.1536015083168,32.9457352798995,78.2935291310907,74.53297363,2,NA,NA,1089,6.5,NA,0.559,6856.725905053739,18458.720946070363,955016270619.4154,43.5,3,4,-0.809182
COM,174,Comoros (the),581,0.86589533,66.481,834188,Africa,0.793,32.7746035528748,67.2253964471252,NA,NA,NA,75.8250571350015,8.3803854,0.602,31.5473035969838,29.2739675942416,36.8862607254928,67.4970386,6,NA,NA,NA,NA,NA,0.111,1368.3741885335987,3399.278307769762,2835637173.001842,NA,NA,NA,-0.374766
COG,178,Congo (the),484,0.80553758,65,6035104,Africa,0.829,63.6422003342807,36.3577996657193,NA,NA,NA,NA,2.19224548,0.644,48.1857800199617,31.8136034644621,56.1144021415498,63.17262301,6,NA,NA,NA,3.35,NA,0.116,1686.0023439138515,6205.105041403403,37448454255.793846,NA,NA,2,-0.1445911
COD,180,Congo (the Democratic Republic of the),490,0.69589216,60.979,102396968,Africa,0.949,44.003287663813,55.996712336187,NA,NA,NA,65.6914486099044,3.78614616,0.514,19.3524710836876,12.3336281870023,27.3193078774246,61.62552641,8,NA,NA,NA,3.6666666666666665,NA,0.152,513.5127043721666,1484.338418814492,151991753572.51813,35.7,5,5,-1.8455557
CRI,188,Costa Rica,94,4.95363188,79.316,5081765,Americas,0.19,78.4405687613972,21.5594312386028,NA,NA,NA,NA,7.18368196,0.823,85.9569296362145,83.3063907946166,86.5371026288178,78.63053412,2,NA,NA,NA,9.05,NA,0.809,13686.161409082211,24831.71934803417,126188962272.66289,35.7,NA,NA,1.1460641
HRV,191,Croatia,344,6.09427309,77.57560975609756,3855641,Europe,0.245,56.9977571733605,43.0022428266395,NA,NA,NA,NA,7.21545315,0.886,NA,NA,NA,76.8616792,0,NA,NA,NA,8.55,5.629166666666666,0.651,16618.111187472376,39863.93973860343,153701040477.6887,23,NA,2,0.7321186
CUB,192,Cuba,40,10.47038651,77.629,11059820,Americas,0.581,77.1056060791016,22.894393920898395,NA,NA,NA,97.6500015258789,11.78683186,0.764,93.3792185249317,88.0944067961946,94.9222426363481,73.67333077,2,NA,NA,NA,3.2666666666666666,NA,0.056,7552.331522188416,NA,NA,NA,3,3,0.4974928
